No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
1,NVDA,NVIDIA Corporation,4.54T,186.94,-1.64%,187.14B
2,AAPL,Apple Inc.,3.84T,261.73,-5.00%,435.62B
3,GOOG,Alphabet Inc.,3.74T,309.37,-0.63%,402.84B
4,GOOGL,Alphabet Inc.,3.74T,309.00,-0.63%,402.84B
5,MSFT,Microsoft Corporation,2.98T,401.84,-0.63%,305.45B
6,AMZN,Amazon.com Inc.,2.14T,199.60,-2.20%,716.92B
7,META,Meta Platforms Inc.,1.64T,649.81,-2.82%,200.97B
8,AVGO,Broadcom Inc.,1.57T,331.17,-3.38%,63.89B
9,TSLA,Tesla Inc.,1.57T,417.07,-2.62%,94.83B
10,BRK.B,Berkshire Hathaway Inc.,1.08T,500.01,,372.13B
11,WMT,Walmart Inc.,1.07T,133.64,3.78%,703.06B
12,LLY,Eli Lilly and Company,929.65B,1038.27,2.27%,65.18B
13,JPM,JPMorgan Chase & Co.,815.98B,302.64,-2.63%,168.24B
14,XOM,Exxon Mobil Corporation,626.56B,149.93,-2.33%,323.91B
15,V,Visa Inc.,617.89B,324.18,-1.54%,41.39B
16,JNJ,Johnson & Johnson,589.19B,244.55,1.53%,94.19B
17,MA,Mastercard Incorporated,470.40B,527.46,-1.86%,32.79B
18,MU,Micron Technology Inc.,465.93B,413.97,0.88%,42.31B
19,ORCL,Oracle Corporation,449.74B,156.48,-0.43%,61.02B
20,COST,Costco Wholesale Corporation,443.36B,998.86,2.12%,280.39B
21,ABBV,AbbVie Inc.,402.08B,227.50,2.99%,61.16B
22,HD,The Home Depot Inc.,388.47B,390.22,-0.12%,166.19B
23,BAC,Bank of America Corporation,378.80B,52.52,-2.47%,107.42B
24,PG,The Procter & Gamble Company,374.65B,161.21,0.76%,85.26B
25,CVX,Chevron Corporation,361.15B,182.40,-1.84%,186.03B
26,CAT,Caterpillar Inc.,354.86B,758.29,-2.16%,67.59B
27,KO,The Coca-Cola Company,339.83B,79.00,0.51%,47.94B
28,AMD,Advanced Micro Devices Inc.,335.77B,205.94,-3.58%,34.64B
29,GE,GE Aerospace,328.16B,312.89,-0.27%,45.86B
30,NFLX,Netflix Inc.,320.29B,75.86,-4.72%,45.18B
31,PLTR,Palantir Technologies Inc.,307.77B,129.13,-4.83%,4.48B
32,CSCO,Cisco Systems Inc.,296.33B,75.00,-12.32%,59.05B
33,MRK,Merck & Co. Inc.,295.96B,119.24,-0.06%,65.01B
34,PM,Philip Morris International Inc.,294.13B,188.95,1.44%,40.65B
35,LRCX,Lam Research Corporation,288.83B,231.29,-1.63%,20.56B
36,GS,The Goldman Sachs Group Inc.,283.78B,904.55,-4.24%,59.40B
37,RTX,RTX Corporation,269.99B,201.14,2.36%,88.60B
38,WFC,Wells Fargo & Company,266.86B,86.29,-2.99%,80.04B
39,MS,Morgan Stanley,266.04B,168.06,-4.88%,70.30B
40,AMAT,Applied Materials Inc.,260.65B,328.39,-3.38%,28.21B
41,UNH,UnitedHealth Group Incorporated,257.59B,284.37,1.96%,447.57B
42,IBM,International Business Machines Corporation,242.58B,259.52,-4.87%,67.54B
43,TMUS,T-Mobile US Inc.,237.64B,214.68,2.45%,88.31B
44,MCD,McDonald's Corporation,236.49B,332.08,2.74%,26.89B
45,AXP,American Express Company,235.43B,342.88,-3.14%,66.97B
46,INTC,Intel Corporation,232.18B,46.48,-3.75%,52.85B
47,PEP,PepsiCo Inc.,228.50B,167.20,-1.15%,93.93B
48,LIN,Linde plc,220.80B,472.86,1.14%,33.99B
49,GEV,GE Vernova Inc.,220.09B,816.56,-0.86%,38.07B
50,VZ,Verizon Communications Inc.,208.57B,49.46,1.00%,138.19B
51,TXN,Texas Instruments Incorporated,202.38B,223.00,-1.57%,17.68B
52,T,AT&T Inc.,201.62B,28.80,1.16%,125.65B
53,AMGN,Amgen Inc.,197.19B,366.20,-0.10%,36.75B
54,C,Citigroup Inc.,194.23B,111.15,-5.32%,75.72B
55,ABT,Abbott Laboratories,193.83B,111.47,-1.87%,44.33B
56,TMO,Thermo Fisher Scientific Inc.,191.54B,509.82,-3.29%,44.56B
57,NEE,NextEra Energy Inc.,191.45B,91.93,0.62%,27.41B
58,KLAC,KLA Corporation,190.17B,1450.85,-1.94%,12.74B
59,GILD,Gilead Sciences Inc.,188.35B,151.81,-2.56%,29.44B
60,BA,The Boeing Company,187.97B,239.35,1.31%,89.46B
61,DIS,The Walt Disney Company,181.37B,102.38,-5.31%,95.72B
62,APH,Amphenol Corporation,176.68B,143.73,-0.22%,23.09B
63,CRM,Salesforce Inc.,173.75B,185.43,0.23%,40.32B
64,BLK,BlackRock Inc.,171.91B,1055.63,-2.52%,24.22B
65,TJX,The TJX Companies Inc.,171.21B,154.18,2.85%,58.98B
66,ANET,Arista Networks Inc.,170.15B,135.12,-3.94%,9.01B
67,ISRG,Intuitive Surgical Inc.,169.97B,478.60,-3.53%,10.06B
68,SCHW,The Charles Schwab Corporation,168.95B,95.08,-0.39%,23.92B
69,DE,Deere & Company,162.13B,598.11,-2.38%,45.63B
70,ADI,Analog Devices Inc.,161.91B,331.36,-1.67%,11.02B
71,LOW,Lowe's Companies Inc.,160.17B,285.53,-0.53%,84.26B
72,BX,Blackstone Inc.,159.46B,129.77,-2.77%,14.21B
73,PFE,Pfizer Inc.,156.19B,27.47,-0.94%,62.58B
74,UNP,Union Pacific Corporation,155.33B,261.77,-0.40%,24.51B
75,HON,Honeywell International Inc.,152.26B,239.83,-1.18%,37.44B
76,DHR,Danaher Corporation,151.94B,214.94,-2.29%,24.57B
77,ETN,Eaton Corporation plc,151.60B,390.33,-1.45%,27.45B
78,UBER,Uber Technologies Inc.,147.98B,71.22,0.30%,52.02B
79,QCOM,QUALCOMM Incorporated,147.75B,138.47,-1.82%,44.87B
80,LMT,Lockheed Martin Corporation,146.66B,637.43,1.39%,75.05B
81,WELL,Welltower Inc.,144.97B,208.14,0.13%,10.84B
82,SYK,Stryker Corporation,140.01B,365.85,0.59%,25.12B
83,ACN,Accenture plc,136.63B,222.05,-3.64%,70.73B
84,COP,ConocoPhillips,135.79B,110.83,-0.34%,60.28B
85,BKNG,Booking Holdings Inc.,134.06B,4159.10,-3.56%,26.04B
86,CB,Chubb Limited,130.05B,332.51,1.05%,60.18B
87,PLD,Prologis Inc.,129.73B,136.38,-2.50%,9.19B
88,MDT,Medtronic plc,129.33B,100.88,-0.20%,34.76B
89,COF,Capital One Financial Corporation,129.33B,206.89,-3.50%,32.78B
90,NEM,Newmont Corporation,128.58B,118.12,-5.20%,21.50B
91,APP,AppLovin Corporation,124.13B,366.91,-19.68%,5.48B
92,PH,Parker-Hannifin Corporation,123.97B,982.21,-1.37%,20.46B
93,BMY,Bristol-Myers Squibb Company,121.86B,59.86,-0.12%,48.19B
94,PGR,The Progressive Corporation,120.41B,205.45,-1.40%,87.64B
95,HCA,HCA Healthcare Inc.,119.65B,535.22,0.71%,75.60B
96,SPGI,S&P Global Inc.,118.67B,397.20,1.65%,15.34B
97,VRTX,Vertex Pharmaceuticals Incorporated,117.98B,465.02,0.82%,11.72B
98,CMCSA,Comcast Corporation,114.48B,31.82,-2.03%,123.71B
99,PANW,Palo Alto Networks Inc.,113.48B,162.81,-1.51%,9.56B
100,MO,Altria Group Inc.,112.49B,67.01,1.65%,20.14B
101,MCK,McKesson Corporation,112.20B,916.00,-3.90%,397.96B
102,GLW,Corning Incorporated,111.64B,131.50,-1.05%,15.63B
103,INTU,Intuit Inc.,110.74B,397.96,-0.43%,19.43B
104,SBUX,Starbucks Corporation,110.23B,96.76,-2.38%,37.70B
105,BSX,Boston Scientific Corporation,109.92B,74.12,0.88%,20.07B
106,CME,CME Group Inc.,108.77B,301.64,-0.28%,6.52B
